step_id,recipe_id,step_number,instruction
recipe10_veg_biryani_step1,recipe10_veg_biryani,1,Turn burner ON and place pan.
recipe10_veg_biryani_step2,recipe10_veg_biryani,2,Add oil and sauté the base for Veg Biryani.
recipe10_veg_biryani_step3,recipe10_veg_biryani,3,Add main ingredients and cook thoroughly.
recipe10_veg_biryani_step4,recipe10_veg_biryani,4,Turn burner OFF and let rest
recipe10_veg_biryani_step5,recipe10_veg_biryani,5,Serve hot.
recipe11_sambar_rice_step1,recipe11_sambar_rice,1,Turn burner ON and place pan.
recipe11_sambar_rice_step2,recipe11_sambar_rice,2,Add oil and sauté the base for Sambar Rice.
recipe11_sambar_rice_step3,recipe11_sambar_rice,3,Add main ingredients and cook thoroughly.
recipe11_sambar_rice_step4,recipe11_sambar_rice,4,Turn burner OFF and let rest
recipe11_sambar_rice_step5,recipe11_sambar_rice,5,Serve hot.
recipe12_poha_step1,recipe12_poha,1,Turn burner ON and place pan.
recipe12_poha_step2,recipe12_poha,2,Add oil and sauté the base for Poha.
recipe12_poha_step3,recipe12_poha,3,Add main ingredients and cook thoroughly.
recipe12_poha_step4,recipe12_poha,4,Turn burner OFF and let rest
recipe12_poha_step5,recipe12_poha,5,Serve hot.
recipe13_upma_step1,recipe13_upma,1,Turn burner ON and place pan.
recipe13_upma_step2,recipe13_upma,2,Add oil and sauté the base for Upma.
recipe13_upma_step3,recipe13_upma,3,Add main ingredients and cook thoroughly.
recipe13_upma_step4,recipe13_upma,4,Turn burner OFF and let rest
recipe13_upma_step5,recipe13_upma,5,Serve hot.
recipe14_roti_sabzi_step1,recipe14_roti_sabzi,1,Turn burner ON and place pan.
recipe14_roti_sabzi_step2,recipe14_roti_sabzi,2,Add oil and sauté the base for Roti Sabzi.
recipe14_roti_sabzi_step3,recipe14_roti_sabzi,3,Add main ingredients and cook thoroughly.
recipe14_roti_sabzi_step4,recipe14_roti_sabzi,4,Turn burner OFF and let rest
recipe14_roti_sabzi_step5,recipe14_roti_sabzi,5,Serve hot.
recipe15_paneer_butter_masala_step1,recipe15_paneer_butter_masala,1,Turn burner ON and place pan.
recipe15_paneer_butter_masala_step2,recipe15_paneer_butter_masala,2,Add oil and sauté the base for Paneer Butter Masala.
recipe15_paneer_butter_masala_step3,recipe15_paneer_butter_masala,3,Add main ingredients and cook thoroughly.
recipe15_paneer_butter_masala_step4,recipe15_paneer_butter_masala,4,Turn burner OFF and let rest
recipe15_paneer_butter_masala_step5,recipe15_paneer_butter_masala,5,Serve hot.
recipe16_mixed_veg_curry_step1,recipe16_mixed_veg_curry,1,Turn burner ON and place pan.
recipe16_mixed_veg_curry_step2,recipe16_mixed_veg_curry,2,Add oil and sauté the base for Mixed Veg Curry.
recipe16_mixed_veg_curry_step3,recipe16_mixed_veg_curry,3,Add main ingredients and cook thoroughly.
recipe16_mixed_veg_curry_step4,recipe16_mixed_veg_curry,4,Turn burner OFF and let rest
recipe16_mixed_veg_curry_step5,recipe16_mixed_veg_curry,5,Serve hot.
recipe17_tomato_soup_step1,recipe17_tomato_soup,1,Turn burner ON and place pan.
